COUNTRY,HOLDER NAME,ISSUER,ISIN,NET SHORT POSITION (%),POSITION DATE
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.51,2012-12-28
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.61,2013-01-16
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.71,2013-02-12
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",ICAP PLC,GB0033872168,0.69,2013-02-21
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",IMI PLC,GB0004579636,0.52,2012-11-07
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",IMI PLC,GB0004579636,0.61,2012-11-29
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",IMI PLC,GB0004579636,0.70,2012-12-13
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",IMI PLC,GB0004579636,0.69,2012-12-17
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",IMI PLC,GB0004579636,0.59,2013-02-14
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INTERTEK GROUP PLC,GB0031638363,0.50,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INTERTEK GROUP PLC,GB0031638363,0.39,2012-11-20
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.90,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.88,2012-11-05
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.75,2012-12-04
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.66,2012-12-05
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.53,2012-12-06
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",INVENSYS PLC,GB00B19DVX61,0.42,2012-12-07
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.80,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.76,2012-11-06
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.68,2012-11-09
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.25,2012-11-20
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.69,2012-11-21
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.73,2012-11-23
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.68,2012-11-27
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.48,2012-12-04
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.55,2013-01-22
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",LONMIN PLC,GB0031192486,0.49,2013-02-11
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.10,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.26,2012-11-06
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.31,2012-11-09
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.29,2012-11-19
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.32,2012-11-26
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.47,2012-12-04
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.56,2012-12-07
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.49,2012-12-21
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.39,2012-12-28
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.28,2013-01-22
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",MAN GROUP PLC,GB00B28KQ186,1.18,2013-02-12
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",VEDANTA RESOURCES PLC,GB0033277061,0.80,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",VEDANTA RESOURCES PLC,GB0033277061,0.69,2012-12-24
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",VEDANTA RESOURCES PLC,GB0033277061,0.59,2013-01-22
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",WEIR GROUP PLC,GB0009465807,1.10,2012-11-01
UNITED KINGDOM,"AQR CAPITAL MANAGEMENT, LLC",WEIR GROUP PLC,GB0009465807,1.09,2013-01-11
UNITED KINGDOM,ARDEVORA ASSET MANAGEMENT LLP,OCADO GROUP PLC,GB00B3MBS747,0.55,2012-11-01
UNITED KINGDOM,ARDEVORA ASSET MANAGEMENT LLP,OCADO GROUP PLC,GB00B3MBS747,0.33,2012-11-07
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,GREGGS PLC,GB00B63QSB39,0.50,2012-12-21
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,ICAP PLC,GB0033872168,0.53,2012-10-31
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,ICAP PLC,GB0033872168,0.70,2012-11-14
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,ICAP PLC,GB0033872168,0.69,2012-12-04
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,ICAP PLC,GB0033872168,0.70,2012-12-19
UNITED KINGDOM,ARTEMIS INVESTMENT MANAGEMENT LLP,ICAP PLC,GB0033872168,0.67,2013-01-10
UNITED KINGDOM,"AXIAL CAPITAL MANAGEMENT, LLC",TUI TRAVEL PLC,GB00B1Z7RQ77,0.55,2012-11-01
UNITED KINGDOM,"AXIAL CAPITAL MANAGEMENT, LLC",TUI TRAVEL PLC,GB00B1Z7RQ77,0.49,2012-12-18
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,DARTY PLC,GB0033040113,1.79,2012-01-23
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,DARTY PLC,GB0033040113,1.92,2012-11-01
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,DARTY PLC,GB0033040113,1.64,2013-01-25
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,DARTY PLC,GB0033040113,1.60,2013-01-29
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,1.41,2012-11-01
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,1.23,2012-12-07
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,1.06,2012-12-11
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.98,2012-12-12
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.89,2012-12-17
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.80,2012-12-21
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.65,2013-01-10
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.60,2013-01-14
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,HOME RETAIL GROUP PLC,GB00B19NKB76,0.49,2013-01-18
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,3.18,2012-11-01
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.97,2012-12-11
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.90,2012-12-14
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.79,2012-12-18
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.70,2012-12-28
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.57,2013-01-28
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.50,2013-01-31
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.37,2013-02-06
UNITED KINGDOM,BARRINGTON WILSHIRE LLC,MOTHERCARE PLC,GB0009067447,2.08,2013-02-13
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,1.18,2012-11-01
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.57,2012-12-05
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.30,2013-01-07
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.77,2013-01-09
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.67,2013-01-14
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.59,2013-01-15
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.49,2013-01-25
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.58,2013-02-05
UNITED KINGDOM,BASSO HOLDINGS LTD.,SPORTINGBET PLC,GB0009516252,0.00,2013-02-13
UNITED KINGDOM,BG MASTER FUND PLC,SUBSEA 7 SA,LU0075646355,0.66,2012-11-01
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.50,2012-12-20
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.60,2013-01-23
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.55,2013-01-31
UNITED KINGDOM,BLACKROCK ADVISORS (UK) LIMITED,PREMIER FOODS PLC,GB00B7N0K053,0.52,2013-02-19
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ASHTEAD GROUP PLC,GB0000536739,0.58,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,1.16,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,1.09,2012-11-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,1.27,2012-12-04
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.87,2012-12-12
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.79,2013-01-03
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.92,2013-01-08
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,1.00,2013-01-15
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.98,2013-01-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.86,2013-01-25
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.79,2013-01-29
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.68,2013-02-07
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",CSR PLC,GB0034147388,0.57,2013-02-12
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.56,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.65,2012-11-05
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.72,2012-11-07
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.69,2012-11-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.72,2012-12-10
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.69,2012-12-19
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.57,2013-01-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.49,2013-01-29
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.50,2013-02-08
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",ELECTROCOMPONENTS PLC,GB0003096442,0.49,2013-02-21
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HALMA PLC,GB0004052071,0.77,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HALMA PLC,GB0004052071,0.68,2013-01-24
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HAYS PLC,GB0004161021,0.71,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HAYS PLC,GB0004161021,0.60,2012-11-09
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HAYS PLC,GB0004161021,0.58,2012-11-14
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HAYS PLC,GB0004161021,0.47,2012-11-20
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HOWDEN JOINERY GROUP PLC,GB0005576813,0.50,2013-01-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HOWDEN JOINERY GROUP PLC,GB0005576813,0.49,2013-01-30
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HOWDEN JOINERY GROUP PLC,GB0005576813,0.51,2013-01-31
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",HOWDEN JOINERY GROUP PLC,GB0005576813,0.49,2013-02-05
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.70,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.69,2012-11-02
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.58,2012-11-14
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.49,2012-11-16
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.50,2013-01-04
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.49,2013-01-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34,0.60,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34,0.59,2012-11-07
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34,0.49,2012-11-16
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICHAEL PAGE INTERNATIONAL PLC,GB0030232317,0.51,2012-12-20
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICHAEL PAGE INTERNATIONAL PLC,GB0030232317,0.46,2013-01-15
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.53,2013-01-02
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.49,2013-01-24
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.50,2013-01-28
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.45,2013-01-30
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.77,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.69,2012-12-11
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.59,2013-01-17
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.60,2013-01-18
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.59,2013-01-24
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PLAYTECH LTD,IM00B7S9G985,0.49,2013-02-05
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PREMIER FARNELL PLC,GB0003318416,0.51,2012-12-12
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PREMIER FARNELL PLC,GB0003318416,0.61,2012-12-19
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PREMIER FARNELL PLC,GB0003318416,0.59,2013-01-07
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PREMIER FARNELL PLC,GB0003318416,0.48,2013-01-22
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",PREMIER FOODS PLC,GB00B7N0K053,0.64,2013-02-20
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",RENTOKIL INITIAL PLC,GB00B082RF11,0.50,2012-12-06
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",RENTOKIL INITIAL PLC,GB00B082RF11,0.48,2013-01-07
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",SPECTRIS PLC,GB0003308607,0.92,2012-11-01
UNITED KINGDOM,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",SPECTRIS PLC,GB0003308607,0.75,2012-11-09
