POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
BlackRock Investment Management (UK) Limited,Barratt Developments PLC,GB0000811801,0.53%,2012-11-01
BlackRock Investment Management (UK) Limited,Betfair Group plc,GB00B44JTH01,1.67%,2012-11-01
BlackRock Investment Management (UK) Limited,Betfair Group plc,GB00B44JTH01,1.51%,2012-11-05
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,1.02%,2012-11-01
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.89%,2012-11-05
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.77%,2012-11-09
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.68%,2012-11-14
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.51%,2012-11-16
Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.44%,2012-11-19
Thames River Capital LLP,Big Yellow Group Plc,GB0002869419,0.55%,2013-01-10
Thames River Capital LLP,Big Yellow Group Plc,GB0002869419,0.43%,2013-01-23
"Luxor Capital Group, LP",Blinkx Plc,GB00B1WBW239,1.82%,2012-11-01
"Luxor Capital Group, LP",Blinkx plc,GB00B1WBW239,1.73%,2013-01-02
Oxford Asset Management,Blinkx Plc,GB00B1WBW239,0.79%,2012-11-13
BlackRock Investment Management (UK) Limited,Bodycote plc,GB00B3FLWH99,1.05%,2012-11-01
BlackRock Investment Management (UK) Limited,BODYCOTE PLC,GB00B3FLWH99,1.10%,2012-11-21
Insight Investment Management (Global) Ltd,Bodycote PLC,GB00B3FLWH99,0.83%,2012-11-01
Insight Investment Management (Global) Ltd,Bodycote PLC,GB00B3FLWH99,0.83%,2012-11-01
Lombard Odier Asset Management (Switzerland) SA,Borders & Southern Petroleum,GB00B08F4599,0.51%,2013-02-14
OLD MUTUAL ASSET MANAGERS (UK) LTD,Borders & Southern Petroleum Plc,GB00B08F4599,0.65%,2013-01-24
Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.62%,2012-11-01
Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.72%,2012-11-07
Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.87%,2012-11-12
Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,1.00%,2012-11-14
Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.71%,2012-12-18
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.75%,2012-11-01
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.56%,2012-11-06
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.48%,2012-11-08
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.37%,2013-01-02
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.25%,2013-01-11
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.12%,2013-01-15
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.09%,2013-01-17
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.98%,2013-01-24
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.78%,2013-01-30
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.80%,2013-01-31
Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.90%,2013-02-15
Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.52%,2013-02-04
Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.62%,2013-02-06
Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.53%,2013-02-08
Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.37%,2013-02-14
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.81%,2012-11-01
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.72%,2012-11-02
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.69%,2013-01-22
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.59%,2013-01-24
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.49%,2013-02-04
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.39%,2013-02-05
Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.24%,2013-02-07
BlackRock Investment Management (UK) Limited,Britvic plc,GB00B0N8QD54,0.55%,2012-11-01
BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.27%,2012-11-14
BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.40%,2012-11-19
BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.15%,2013-02-13
BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,0.81%,2013-02-14
Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.81%,2012-11-01
Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.78%,2012-11-06
Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.68%,2012-12-06
Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.59%,2013-01-07
BlackRock Investment Management (UK) Limited,Bunzl plc,GB00B0744B38,0.52%,2012-11-01
BlackRock Investment Management (UK) Limited,Bunzl plc,GB00B0744B38,0.49%,2012-11-26
BlackRock Investment Management (UK) Limited,BUNZL PLC,GB00B0744B38,0.50%,2012-11-29
BlackRock Investment Management (UK) Limited,BUNZL PLC,GB00B0744B38,0.58%,2012-12-19
"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.50%,2012-11-01
"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.49%,2012-12-17
"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.51%,2013-02-13
Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.59%,2012-11-01
Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.48%,2012-12-05
Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.51%,2013-02-12
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.61%,2012-11-12
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.56%,2012-11-15
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.32%,2012-11-16
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.50%,2013-01-08
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.60%,2013-02-06
UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.48%,2013-02-13
BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.87%,2012-11-01
BlackRock Investment Management (UK) Limited,CAPE PLC,JE00B5SJJD95,0.90%,2012-11-20
BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.88%,2012-11-30
BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.78%,2012-12-21
"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.50%,2012-12-12
"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.60%,2012-12-19
"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.59%,2012-12-27
"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.49%,2013-01-23
"AQR Capital Management, LLC",Capita PLC,GB00B23K0M20,0.80%,2012-11-01
"AQR Capital Management, LLC",Capita PLC,GB00B23K0M20,0.79%,2012-12-17
"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.86%,2012-11-01
"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.74%,2012-12-21
"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.61%,2012-12-28
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.56%,2013-01-17
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.62%,2013-01-21
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.73%,2013-02-05
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.64%,2013-02-06
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.57%,2013-02-07
ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.46%,2013-02-13
BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.53%,2012-11-01
BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.60%,2012-11-14
BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.59%,2012-12-10
BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.60%,2012-12-14
BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.58%,2012-12-17
BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.49%,2013-01-15
BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.50%,2013-01-22
BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.49%,2013-01-24
ODEY ASSET MANAGEMENT LLP,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.84%,2012-11-01
ODEY ASSET MANAGEMENT LLP,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.91%,2013-01-04
BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,0.51%,2012-11-01
BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,0.83%,2012-11-08
BlackRock Investment Management (UK) Limited,CARILLION PLC,GB0007365546,0.90%,2012-12-06
BlackRock Investment Management (UK) Limited,CARILLION PLC,GB0007365546,1.05%,2012-12-27
BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,1.10%,2013-01-17
"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.50%,2012-11-01
"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.49%,2012-12-27
"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.51%,2013-01-15
BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.50%,2012-12-20
BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.60%,2013-01-23
BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.55%,2013-01-31
CQS (UK) LLP,CARNIVAL PLC,GB0031215220,0.50%,2013-01-16
CQS (UK) LLP,CARNIVAL PLC,GB0031215220,0.60%,2013-01-31
BlackRock Investment Management (UK) Limited,Carpetright plc,GB0001772945,2.57%,2012-11-01
Ennismore Fund Management Limited,Carpetright Plc,GB0001772945,0.78%,2012-11-01
Ennismore Fund Management Limited,Carpetright Plc,GB0001772945,0.69%,2013-01-16
GMT Capital Corp,Carpetright PLC,GB0001772945,3.56%,2012-11-01
Henderson Global Investors,CARPETRIGHT PLC,GB0001772945,1.01%,2012-11-01
Parvus Asset Management (UK) LLP,Carpetright PLC,GB0001772945,1.16%,2012-11-01
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.61%,2012-11-06
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.59%,2012-11-09
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.48%,2012-11-23
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.50%,2012-11-27
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.49%,2012-11-29
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.39%,2012-12-06
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.29%,2012-12-27
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.19%,2013-01-23
Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.20%,2013-02-06
Sunrise Partners Limited Partnership,Chariot Oil & Gas Ltd,GG00B2R9PM06,0.55%,2012-11-06
Sunrise Partners Limited Partnership,Chariot Oil & Gas Ltd,GG00B2R9PM06,0.73%,2012-11-07
BlackRock Investment Management (UK) Limited,Costain Group PLC,GB00B64NSP76,2.18%,2012-11-01
Henderson Alternative Investment Limited,Cranswick plc,GB0002318888,0.52%,2012-11-16
Henderson Alternative Investment Limited,Cranswick plc,GB0002318888,0.48%,2012-11-19
FIL Investment Services (UK) Limited ,CRODA INTERNATIONAL PLC,GB0002335270,1.10%,2012-11-01
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.16%,2012-11-01
"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,1.09%,2012-11-22
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.27%,2012-12-04
"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.87%,2012-12-12
"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.79%,2013-01-03
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.92%,2013-01-08
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,1.00%,2013-01-15
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.98%,2013-01-22
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.86%,2013-01-25
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.79%,2013-01-29
"BlackRock Institutional Trust Company, National Association",CSR plc,GB0034147388,0.68%,2013-02-07
"BlackRock Institutional Trust Company, National Association",CSR PLC,GB0034147388,0.57%,2013-02-12
"Joho Capital, LLC",CSR Plc,GB0034147388,4.03%,2012-11-01
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.66%,2012-11-22
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.74%,2012-11-23
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.90%,2012-11-30
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,1.15%,2012-12-04
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,1.24%,2012-12-06
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.97%,2013-02-11
Ennismore Fund Management Limited,Cupid PLC,GB00B4NJ4984,0.66%,2013-02-12
FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.50%,2013-02-07
FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.64%,2013-02-08
FIL Investment Services (UK) Limited ,CUPID PLC,GB00B4NJ4984,0.72%,2013-02-14
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.17%,2012-11-01
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.33%,2013-01-30
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.42%,2013-02-01
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.54%,2013-02-06
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,1.67%,2013-02-07
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.21%,2013-02-08
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.39%,2013-02-11
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.52%,2013-02-13
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,2.84%,2013-02-14
Tremblant Capital LP,CUPID PLC,GB00B4NJ4984,3.14%,2013-02-15
Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.75%,2012-11-01
Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.69%,2013-01-04
Ignis Investment Services Ltd,CVS Group,GB00B2863827,0.41%,2013-02-06
"Greenlight Capital, Inc.",Daily Mail & General Trust PLC,GB0009457366,4.37%,2012-11-01
"Greenlight Capital, Inc.",Daily Mail & General Trust PLC,GB0009457366,4.43%,2012-11-02
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.75%,2012-11-01
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2012-12-03
BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.78%,2012-12-12
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-07
BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.70%,2013-01-10
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-11
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.71%,2013-01-25
BlackRock Investment Management (UK) Limited,Dairy Crest Group plc,GB0002502812,1.69%,2013-01-31
BlackRock Investment Management (UK) Limited,DAIRY CREST GROUP PLC,GB0002502812,1.59%,2013-02-15
Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.56%,2013-01-23
Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.66%,2013-01-24
Polar Capital LLP,Dairy Crest Group PLC,GB0002502812,0.73%,2013-01-25
UBS AG,Dairy Crest Group Plc,GB0002502812,0.52%,2013-02-08
UBS AG,Dairy Crest Group Plc,GB0002502812,0.49%,2013-02-12
BlackRock Investment Management (UK) Limited,Daisy Group plc,GB00B61G9L20,1.14%,2012-11-01
Polar Capital LLP,Daisy Group PLC,GB00B61G9L20,0.75%,2012-11-01
Polar Capital LLP,Daisy Group PLC,GB00B61G9L20,0.00%,2013-01-04
Barrington Wilshire LLC,Darty PLC,GB0033040113,1.79%,2012-01-23
Barrington Wilshire LLC,Darty PLC,GB0033040113,1.92%,2012-11-01
Barrington Wilshire LLC,Darty PLC,GB0033040113,1.64%,2013-01-25
Barrington Wilshire LLC,Darty PLC,GB0033040113,1.60%,2013-01-29
