COUNTRY,POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Amlin plc,GB00B2988H17,0.47%,2013-01-28
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Amlin PLC,GB00B2988H17,0.66%,2012-11-01
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Amlin PLC,GB00B2988H17,0.66%,2012-11-01
UNITED KINGDOM,Cazenove Capital Management Limited,APR Energy PLC,GB00B58D4C52,0.78%,2012-11-01
UNITED KINGDOM,Ennismore Fund Management Limited,APR Energy PLC,GB00B58D4C52,0.51%,2012-11-20
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.66%,2012-11-27
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.70%,2013-01-23
UNITED KINGDOM,JPMorgan Asset Management (UK) Ltd,APR ENERGY PLC,GB00B58D4C52,0.27%,2013-01-24
UNITED KINGDOM,Lansdowne Partners Limited,APR Energy PLC,GB00B58D4C52,3.27%,2012-11-01
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.77%,2012-11-01
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.56%,2012-12-05
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,APR ENERGY PLC,GB00B58D4C52,1.64%,2013-01-10
UNITED KINGDOM,Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.97%,2012-11-06
UNITED KINGDOM,Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.70%,2013-01-04
UNITED KINGDOM,Oxford Asset Management,Aquarius Platinum Ltd,BMG0440M1284,0.69%,2013-01-07
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.68%,2012-11-01
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.76%,2012-11-06
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.70%,2012-11-14
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.83%,2012-12-03
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.82%,2012-12-05
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.77%,2012-12-14
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.46%,2012-12-17
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.29%,2012-12-18
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,2.09%,2013-02-06
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.75%,2013-02-08
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.63%,2013-02-12
UNITED KINGDOM,Sothic Capital Management LLP,Aquarius Platinum Ltd,BMG0440M1284,1.16%,2013-02-14
UNITED KINGDOM,"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.58%,2012-11-05
UNITED KINGDOM,"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.65%,2012-11-06
UNITED KINGDOM,"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.71%,2012-11-07
UNITED KINGDOM,"YA Global Master SPV, Ltd",Arian Silver Corp,VGG0472G1063,0.00%,2012-11-12
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.72%,2012-11-01
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.69%,2012-11-06
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.59%,2012-12-06
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-03
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.50%,2013-01-10
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-11
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.50%,2013-01-24
UNITED KINGDOM,Citadel Advisors LLC,ARM Holdings Plc,GB0000595859,0.49%,2013-01-25
UNITED KINGDOM,Lansdowne Partners Limited,Ashmore Group PLC,GB00B132NW22,0.50%,2013-02-22
UNITED KINGDOM,"BlackRock Institutional Trust Company, National Association",Ashtead Group plc,GB0000536739,0.58%,2012-11-01
UNITED KINGDOM,Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.50%,2013-01-03
UNITED KINGDOM,Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.49%,2013-01-09
UNITED KINGDOM,Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.50%,2013-01-10
UNITED KINGDOM,Highbridge Capital Management LLC,ASOS PLC,GB0030927254,0.48%,2013-01-17
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,2.52%,2012-11-01
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,2.23%,2012-12-12
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,2.18%,2012-12-13
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,2.07%,2012-12-17
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,1.99%,2013-01-09
UNITED KINGDOM,Kynikos Associates LP,ASOS PLC,GB0030927254,2.03%,2013-01-11
UNITED KINGDOM,Ennismore Fund Management Limited,Avanti Communications Group,GB00B1VCNQ84,1.65%,2012-11-01
UNITED KINGDOM,Ennismore Fund Management Limited,Avanti Communications Group,GB00B1VCNQ84,1.58%,2013-02-19
UNITED KINGDOM,Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.58%,2013-02-12
UNITED KINGDOM,Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.78%,2013-02-13
UNITED KINGDOM,Metage Capital Limited,Baillie Gifford Shin Nippon,GB0000706274,0.91%,2013-02-15
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.74%,2012-11-01
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.54%,2012-11-12
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.48%,2012-11-13
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.54%,2013-02-05
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.67%,2013-02-07
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.76%,2013-02-18
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.85%,2013-02-19
UNITED KINGDOM,AKO Capital LLP for AKO Master Fund Limited,BALFOUR BEATTY PLC,GB0000961622,0.92%,2013-02-21
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Balfour Beatty plc,GB0000961622,0.50%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Balfour Beatty plc,GB0000961622,0.48%,2012-11-08
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Barratt Developments PLC,GB0000811801,0.53%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Betfair Group plc,GB00B44JTH01,1.67%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Betfair Group plc,GB00B44JTH01,1.51%,2012-11-05
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,1.02%,2012-11-01
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.89%,2012-11-05
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.77%,2012-11-09
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.68%,2012-11-14
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.51%,2012-11-16
UNITED KINGDOM,Dalton Strategic Partnership LLP,Betfair Group PLC,GB00B44JTH01,0.44%,2012-11-19
UNITED KINGDOM,Thames River Capital LLP,Big Yellow Group Plc,GB0002869419,0.55%,2013-01-10
UNITED KINGDOM,Thames River Capital LLP,Big Yellow Group Plc,GB0002869419,0.43%,2013-01-23
UNITED KINGDOM,"Luxor Capital Group, LP",Blinkx Plc,GB00B1WBW239,1.82%,2012-11-01
UNITED KINGDOM,"Luxor Capital Group, LP",Blinkx plc,GB00B1WBW239,1.73%,2013-01-02
UNITED KINGDOM,Oxford Asset Management,Blinkx Plc,GB00B1WBW239,0.79%,2012-11-13
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Bodycote plc,GB00B3FLWH99,1.05%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BODYCOTE PLC,GB00B3FLWH99,1.10%,2012-11-21
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Bodycote PLC,GB00B3FLWH99,0.83%,2012-11-01
UNITED KINGDOM,Insight Investment Management (Global) Ltd,Bodycote PLC,GB00B3FLWH99,0.78%,2013-02-21
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Borders & Southern Petroleum,GB00B08F4599,0.51%,2013-02-14
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Borders & Southern Petroleum,GB00B08F4599,0.64%,2013-02-18
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Borders & Southern Petroleum,GB00B08F4599,0.74%,2013-02-20
UNITED KINGDOM,OLD MUTUAL ASSET MANAGERS (UK) LTD,Borders & Southern Petroleum Plc,GB00B08F4599,0.65%,2013-01-24
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.62%,2012-11-01
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.72%,2012-11-07
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.87%,2012-11-12
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,1.00%,2012-11-14
UNITED KINGDOM,Lombard Odier Asset Management (Switzerland) SA,Bowleven PLC,GB00B04PYL99,0.71%,2012-12-18
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.75%,2012-11-01
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.56%,2012-11-06
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.48%,2012-11-08
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.37%,2013-01-02
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.25%,2013-01-11
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.12%,2013-01-15
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,1.09%,2013-01-17
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.98%,2013-01-24
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.78%,2013-01-30
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.80%,2013-01-31
UNITED KINGDOM,Oxford Asset Management,Bowleven PLC,GB00B04PYL99,0.90%,2013-02-15
UNITED KINGDOM,Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.52%,2013-02-04
UNITED KINGDOM,Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.62%,2013-02-06
UNITED KINGDOM,Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.53%,2013-02-08
UNITED KINGDOM,Henderson Alternative Investment Limited,Brewin Dolphin Holdings Plc,GB0001765816,0.37%,2013-02-14
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.81%,2012-11-01
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.72%,2012-11-02
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.69%,2013-01-22
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.59%,2013-01-24
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.49%,2013-02-04
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.39%,2013-02-05
UNITED KINGDOM,Lansdowne Partners Limited,British Sky Broadcasting Group,GB0001411924,1.24%,2013-02-07
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Britvic plc,GB00B0N8QD54,0.55%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.27%,2012-11-14
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.40%,2012-11-19
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,1.15%,2013-02-13
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BRITVIC PLC,GB00B0N8QD54,0.81%,2013-02-14
UNITED KINGDOM,Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.81%,2012-11-01
UNITED KINGDOM,Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.78%,2012-11-06
UNITED KINGDOM,Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.68%,2012-12-06
UNITED KINGDOM,Oxford Asset Management,Bumi Plc,GB00B5BLXT62,0.59%,2013-01-07
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Bunzl plc,GB00B0744B38,0.52%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Bunzl plc,GB00B0744B38,0.49%,2012-11-26
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BUNZL PLC,GB00B0744B38,0.50%,2012-11-29
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,BUNZL PLC,GB00B0744B38,0.58%,2012-12-19
UNITED KINGDOM,"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.50%,2012-11-01
UNITED KINGDOM,"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.49%,2012-12-17
UNITED KINGDOM,"AQR Capital Management, LLC",Burberry Group PLC,GB0031743007,0.51%,2013-02-13
UNITED KINGDOM,Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.59%,2012-11-01
UNITED KINGDOM,Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.48%,2012-12-05
UNITED KINGDOM,Highbridge Capital Management LLC,BWIN.Party Digital Entertainment,GI000A0MV757,0.51%,2013-02-12
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.61%,2012-11-12
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.56%,2012-11-15
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.32%,2012-11-16
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.50%,2013-01-08
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.60%,2013-02-06
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.48%,2013-02-13
UNITED KINGDOM,UBS O'Connor Limited,CAIRN ENERGY PLC,GB00B74CDH82,0.53%,2013-02-21
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.87%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CAPE PLC,JE00B5SJJD95,0.90%,2012-11-20
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.88%,2012-11-30
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Cape plc,JE00B5SJJD95,0.78%,2012-12-21
UNITED KINGDOM,"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.50%,2012-12-12
UNITED KINGDOM,"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.60%,2012-12-19
UNITED KINGDOM,"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.59%,2012-12-27
UNITED KINGDOM,"WorldQuant, LLC",Cape PLC,JE00B5SJJD95,0.49%,2013-01-23
UNITED KINGDOM,"AQR Capital Management, LLC",Capita PLC,GB00B23K0M20,0.80%,2012-11-01
UNITED KINGDOM,"AQR Capital Management, LLC",Capita PLC,GB00B23K0M20,0.79%,2012-12-17
UNITED KINGDOM,"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.86%,2012-11-01
UNITED KINGDOM,"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.74%,2012-12-21
UNITED KINGDOM,"Morton Holdings, Inc.",Capita Plc,GB00B23K0M20,0.61%,2012-12-28
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.56%,2013-01-17
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.62%,2013-01-21
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.73%,2013-02-05
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.64%,2013-02-06
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.57%,2013-02-07
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITA PLC,GB00B23K0M20,0.46%,2013-02-13
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.53%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.60%,2012-11-14
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.59%,2012-12-10
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.60%,2012-12-14
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.58%,2012-12-17
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.49%,2013-01-15
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.50%,2013-01-22
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Capital Shopping Centres Group PLC,GB0006834344,0.49%,2013-01-24
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.84%,2012-11-01
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,0.91%,2013-01-04
UNITED KINGDOM,ODEY ASSET MANAGEMENT LLP,CAPITAL SHOPPING CENTRES GROUP PLC,GB0006834344,1.00%,2013-02-20
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,0.51%,2012-11-01
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,0.83%,2012-11-08
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CARILLION PLC,GB0007365546,0.90%,2012-12-06
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,CARILLION PLC,GB0007365546,1.05%,2012-12-27
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Carillion plc,GB0007365546,1.10%,2013-01-17
UNITED KINGDOM,"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.50%,2012-11-01
UNITED KINGDOM,"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.49%,2012-12-27
UNITED KINGDOM,"AQR Capital Management, LLC",Carnival PLC,GB0031215220,0.51%,2013-01-15
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.50%,2012-12-20
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.60%,2013-01-23
UNITED KINGDOM,BLACK RIVER ASSET MANAGEMENT LLC,CARNIVAL PLC,GB0031215220,0.55%,2013-01-31
UNITED KINGDOM,CQS (UK) LLP,CARNIVAL PLC,GB0031215220,0.50%,2013-01-16
UNITED KINGDOM,CQS (UK) LLP,CARNIVAL PLC,GB0031215220,0.60%,2013-01-31
UNITED KINGDOM,CQS (UK) LLP,CARNIVAL PLC,GB0031215220,0.70%,2013-02-20
UNITED KINGDOM,BlackRock Investment Management (UK) Limited,Carpetright plc,GB0001772945,2.57%,2012-11-01
UNITED KINGDOM,Ennismore Fund Management Limited,Carpetright Plc,GB0001772945,0.78%,2012-11-01
UNITED KINGDOM,Ennismore Fund Management Limited,Carpetright Plc,GB0001772945,0.69%,2013-01-16
UNITED KINGDOM,GMT Capital Corp,Carpetright PLC,GB0001772945,3.56%,2012-11-01
UNITED KINGDOM,Henderson Global Investors,CARPETRIGHT PLC,GB0001772945,1.01%,2012-11-01
UNITED KINGDOM,Parvus Asset Management (UK) LLP,Carpetright PLC,GB0001772945,1.16%,2012-11-01
UNITED KINGDOM,Oxford Asset Management,Chariot Oil & Gas Ltd,GG00B2R9PM06,1.61%,2012-11-06
