"holder","issuer","isin","position","date"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.66,"2013-03-14"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",1.16,"2013-03-14"
"Maverick Capital, Ltd.","AIXTRON SE","DE000A0WMPJ6",7.29,"2013-03-14"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",1.01,"2013-03-14"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",0.49,"2013-03-14"
"Oxford Asset Management","Klöckner & Co SE","DE000KC01000",0.6,"2013-03-14"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.25,"2013-03-14"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.28,"2013-03-14"
"BlackRock Advisors (UK) Limited","Evotec AG","DE0005664809",0.5,"2013-03-13"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.73,"2013-03-13"
"Oxford Asset Management","IVG Immobilien AG","DE0006205701",0.73,"2013-03-13"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",0.86,"2013-03-13"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.8,"2013-03-13"
"Maverick Capital, Ltd.","AIXTRON SE","DE000A0WMPJ6",7.61,"2013-03-13"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.07,"2013-03-13"
"Highbridge Capital Management, LLC","TUI AG","DE000TUAG000",0.63,"2013-03-13"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.64,"2013-03-12"
"Lansdowne Partners Limited","Fraport AG Frankfurt Airport Services Worldwide","DE0005773303",0.5,"2013-03-12"
"BG Master Fund Plc","KUKA Roboter GmbH","DE0006204407",0.46,"2013-03-12"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.85,"2013-03-12"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.81,"2013-03-12"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",0.69,"2013-03-12"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",1.11,"2013-03-12"
"Highbridge Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.61,"2013-03-12"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",0.68,"2013-03-12"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.66,"2013-03-12"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.69,"2013-03-11"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",0.7,"2013-03-11"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",0.58,"2013-03-11"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.51,"2013-03-08"
"D. E. Shaw & Co. (U.K.), Ltd.","Drägerwerk AG & Co. KGaA","DE0005550602",1.24,"2013-03-08"
"BlackRock Institutional Trust Company, National Association","Evotec AG","DE0005664809",0.7,"2013-03-08"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.47,"2013-03-08"
"AQR Capital Management, LLC","Dialog Semicon Plc","GB0059822006",2.03,"2013-03-08"
"Highbridge Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.5,"2013-03-07"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",0.9,"2013-03-07"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",0.79,"2013-03-07"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2013-03-07"
"BlackRock Institutional Trust Company, National Association","Evotec AG","DE0005664809",0.6,"2013-03-06"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.7,"2013-03-06"
"Oxford Asset Management","IVG Immobilien AG","DE0006205701",0.61,"2013-03-06"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.79,"2013-03-06"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.47,"2013-03-06"
"BlackRock Institutional Trust Company, National Association","euromicron Aktiengesellschaft communication & control technology","DE000A1K0300",0.62,"2013-03-06"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",2.2,"2013-03-06"
"Highbridge Capital Management, LLC","TUI AG","DE000TUAG000",0.5,"2013-03-06"
"Crestwood Capital Management, L.P.","SolarWorld Aktiengesellschaft","DE0005108401",0.61,"2013-03-05"
"BlackRock Institutional Trust Company, National Association","STRATEC Biomedical AG","DE0007289001",0.52,"2013-03-05"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.49,"2013-03-05"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",0.81,"2013-03-05"
"Pennant Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",1.82,"2013-03-05"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.64,"2013-03-05"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",0.86,"2013-03-05"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.39,"2013-03-05"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.5,"2013-03-04"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",0.95,"2013-03-04"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",0.76,"2013-03-01"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.07,"2013-03-01"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",1.12,"2013-03-01"
"Crestwood Capital Management, L.P.","SolarWorld Aktiengesellschaft","DE0005108401",0.79,"2013-02-28"
"UBS AG","Deutsche Beteiligungs AG","DE0005508105",0.49,"2013-02-28"
"Polygon Global Partners LLP","TAG Immobilien AG","DE0008303504",0.61,"2013-02-28"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",0.68,"2013-02-28"
"Saemor Capital B.V.","AIXTRON SE","DE000A0WMPJ6",0.59,"2013-02-28"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.12,"2013-02-28"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.78,"2013-02-28"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.17,"2013-02-28"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.51,"2013-02-28"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",0.65,"2013-02-28"
"Marshall Wace LLP","LEONI AG","DE0005408884",0.46,"2013-02-27"
"BlackRock Institutional Trust Company, National Association","Evotec AG","DE0005664809",0.5,"2013-02-27"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.99,"2013-02-27"
"Myriad Opportunities Master Fund Limited","KUKA Aktiengesellschaft","DE0006204407",0.59,"2013-02-27"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft - Rechtsabteilung-","DE0008032004",0.61,"2013-02-27"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",1.66,"2013-02-26"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.61,"2013-02-26"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.86,"2013-02-26"
"Oxford Asset Management","AIXTRON SE","DE000A0WMPJ6",0.53,"2013-02-26"
"BlackRock Advisors (UK) Limited","Süss MicroTec AG","DE000A1K0235",0.5,"2013-02-26"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.27,"2013-02-26"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.47,"2013-02-26"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",0.97,"2013-02-26"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.49,"2013-02-26"
"UBS AG","Deutsche Beteiligungs AG","DE0005508105",0.59,"2013-02-25"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.41,"2013-02-25"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",1.02,"2013-02-25"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.47,"2013-02-25"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.32,"2013-02-25"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.25,"2013-02-25"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",2.18,"2013-02-25"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.56,"2013-02-25"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",1.97,"2013-02-22"
"Marshall Wace LLP","LEONI AG","DE0005408884",0.5,"2013-02-22"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.59,"2013-02-22"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",1.01,"2013-02-22"
"Meditor Capital Management Limited","ProSiebenSat.1 Media AG","DE0007771172",0,"2013-02-22"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.94,"2013-02-22"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.51,"2013-02-22"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.81,"2013-02-22"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.55,"2013-02-22"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.06,"2013-02-21"
"Highbridge Capital Management, LLC","Drillisch Aktiengesellschaft","DE0005545503",0.69,"2013-02-21"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft","DE0008032004",0.54,"2013-02-21"
"BlackRock Institutional Trust Company, National Association","euromicron Aktiengesellschaft communication & control technology","DE000A1K0300",0.5,"2013-02-21"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.75,"2013-02-21"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.08,"2013-02-21"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.51,"2013-02-21"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.31,"2013-02-20"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",1.75,"2013-02-20"
"Ennismore Fund Management Limited","Nordex SE","DE000A0D6554",0.6,"2013-02-20"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.68,"2013-02-20"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.15,"2013-02-20"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.45,"2013-02-20"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",2.07,"2013-02-20"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.28,"2013-02-19"
"Highbridge Capital Management, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",0.6,"2013-02-19"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",0.84,"2013-02-19"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.2,"2013-02-19"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.32,"2013-02-19"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.96,"2013-02-19"
"Marshall Wace LLP","Aareal Bank AG","DE0005408116",0.49,"2013-02-18"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.8,"2013-02-18"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.29,"2013-02-18"
"Marshall Wace LLP","Aareal Bank AG","DE0005408116",0.53,"2013-02-15"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.37,"2013-02-15"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.05,"2013-02-15"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft","DE0008032004",0.47,"2013-02-15"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.86,"2013-02-15"
"Ennismore Fund Management Limited","Nordex SE","DE000A0D6554",0.53,"2013-02-15"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.01,"2013-02-15"
"Oxford Asset Management","Klöckner & Co SE","DE000KC01000",0.51,"2013-02-15"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.38,"2013-02-14"
"Marshall Wace LLP","Aareal Bank AG","DE0005408116",0.62,"2013-02-14"
"BG Master Fund Plc","KUKA Aktiengesellschaft","DE0006204407",0.5,"2013-02-14"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.2,"2013-02-14"
"CQS (UK) LLP","Deutsche EuroShop AG","DE0007480204",0.58,"2013-02-14"
"Marshall Wace LLP","COMMERZBANK Aktiengesellschaft","DE0008032004",0.52,"2013-02-14"
"Discovery Capital Management, LLC","Wacker Chemie AG","DE000WCH8881",1.91,"2013-02-14"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.48,"2013-02-13"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.23,"2013-02-13"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.97,"2013-02-13"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.59,"2013-02-13"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.79,"2013-02-13"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.9,"2013-02-13"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.99,"2013-02-13"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.6,"2013-02-12"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.02,"2013-02-11"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.94,"2013-02-11"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.1,"2013-02-11"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2013-02-11"
"AQR Capital Management, LLC","Symrise AG","DE000SYM9999",0.39,"2013-02-11"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",2.02,"2013-02-11"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.51,"2013-02-08"
"Arrowgrass Capital Partners LLP","Drägerwerk AG & Co. KGaA","DE0005550636",0.9,"2013-02-08"
"Sothic Capital Management LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",2.19,"2013-02-08"
"Meditor Capital Management Limited","HUGO BOSS AG","DE000A1PHFF7",0.7,"2013-02-08"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",1.07,"2013-02-08"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.52,"2013-02-08"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.39,"2013-02-08"
"Sothic Capital Management LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",2.26,"2013-02-07"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.55,"2013-02-07"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.28,"2013-02-07"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.82,"2013-02-07"
"Luxor Capital Group, LP","Axel Springer Aktiengesellschaft","DE0005501357",0.46,"2013-02-06"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",1.03,"2013-02-06"
"Barrington Wilshire LLC","Praktiker AG","DE000A0F6MD5",0.96,"2013-02-06"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.88,"2013-02-06"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.95,"2013-02-06"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.49,"2013-02-06"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.73,"2013-02-06"
"Morton Holdings, Inc.","Wacker Chemie AG","DE000WCH8881",0,"2013-02-06"
"ZBI EQUITIES, L.L.C.","Wacker Chemie AG","DE000WCH8881",1.01,"2013-02-06"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.69,"2013-02-05"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.47,"2013-02-05"
"QVT Financial LP","Wirecard AG","DE0007472060",0.59,"2013-02-05"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.63,"2013-02-05"
"QVT Financial LP","Wirecard AG","DE0007472060",0.67,"2013-02-04"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.83,"2013-02-04"
"D. E. Shaw & Co. (U.K.), Ltd.","freenet AG","DE000A0Z2ZZ5",0.86,"2013-02-04"
"Adelphi Capital LLP","Celesio AG","DE000CLS1001",0.74,"2013-02-04"
"UBS O'Connor Limited","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.85,"2013-02-04"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.47,"2013-02-04"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.52,"2013-02-01"
"QVT Financial LP","Wirecard AG","DE0007472060",0.79,"2013-02-01"
"Tremblant Capital LP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.7,"2013-02-01"
"Barrington Wilshire LLC","Praktiker AG","DE000A0F6MD5",0.81,"2013-02-01"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.6,"2013-02-01"
"D. E. Shaw & Co. (U.K.), Ltd.","freenet AG","DE000A0Z2ZZ5",0.78,"2013-02-01"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",1,"2013-02-01"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.6,"2013-02-01"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702",0.47,"2013-01-31"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.49,"2013-01-31"
"Marble Arch Investments","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",3.01,"2013-01-31"
"CQS (UK) LLP","Deutsche EuroShop AG","DE0007480204",0.65,"2013-01-31"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.81,"2013-01-31"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.56,"2013-01-31"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.92,"2013-01-31"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.93,"2013-01-31"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.57,"2013-01-31"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.5,"2013-01-31"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.11,"2013-01-30"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.53,"2013-01-30"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.61,"2013-01-30"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",2,"2013-01-30"
"Barrington Wilshire LLC","Praktiker AG","DE000A0F6MD5",0.61,"2013-01-30"
"D. E. Shaw & Co. (U.K.), Ltd.","freenet AG","DE000A0Z2ZZ5",0.65,"2013-01-30"
"Saemor Capital B.V.","Klöckner & Co SE","DE000KC01000",0.8,"2013-01-30"
"UBS O'Connor Limited","Klöckner & Co SE","DE000KC01000",0.7,"2013-01-30"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.6,"2013-01-29"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",0.94,"2013-01-29"
"Pine River Capital Management L.P.","TUI AG","DE000TUAG000",0.86,"2013-01-29"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.57,"2013-01-29"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.45,"2013-01-28"
"Oxford Asset Management","IVG Immobilien AG","DE0006205701",0.51,"2013-01-28"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.55,"2013-01-25"
"Marble Arch Investments","SolarWorld Aktiengesellschaft","DE0005108401",1.61,"2013-01-25"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.7,"2013-01-25"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.6,"2013-01-25"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.92,"2013-01-25"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.52,"2013-01-25"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.99,"2013-01-25"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.62,"2013-01-24"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.72,"2013-01-24"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.5,"2013-01-24"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.48,"2013-01-24"
"D. E. Shaw & Co. (U.K.), Ltd.","Drägerwerk AG & Co. KGaA","DE0005550602",1.11,"2013-01-23"
"Arrowgrass Capital Partners LLP","Drägerwerk AG & Co. KGaA","DE0005550636",0.85,"2013-01-23"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.5,"2013-01-23"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.2,"2013-01-23"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.61,"2013-01-23"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6",0.34,"2013-01-23"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.4,"2013-01-23"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",0.64,"2013-01-23"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.45,"2013-01-23"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.82,"2013-01-22"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.55,"2013-01-22"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.59,"2013-01-22"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.52,"2013-01-22"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.67,"2013-01-22"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2013-01-21"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",0,"2013-01-21"
"Ferox Capital LLP","Qiagen N.V","NL0000240000",0.56,"2013-01-21"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.03,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.83,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.83,"2013-01-18"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.93,"2013-01-18"
"Adelphi Capital LLP","METRO AG","DE0007257503",0.17,"2013-01-18"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.2,"2013-01-18"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.4,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.97,"2013-01-17"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.53,"2013-01-17"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.7,"2013-01-17"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.34,"2013-01-17"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.21,"2013-01-16"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.51,"2013-01-16"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.43,"2013-01-16"
"Polygon Global Partners LLP","TUI AG","DE000TUAG000",0.25,"2013-01-16"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.26,"2013-01-16"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.5,"2013-01-15"
